date,TU precip,,,TU precip
15/04/1990,3.43121,,1990.25,3.43121
15/05/1990,5.04701,,1990.333333,5.04701
15/06/1990,4.45872,,1990.416667,4.45872
15/07/1990,4.7204,,1990.5,4.7204
15/08/1990,4.56799,,1990.583333,4.56799
15/09/1990,2.78515,,1990.666667,2.78515
15/10/1990,2.26729,,1990.75,2.26729
15/11/1990,2.30985,,1990.833333,2.30985
15/12/1990,2.3874,,1990.916667,2.3874
15/01/1991,2.52081,,1991,2.52081
15/02/1991,2.97653,,1991.083333,2.97653
15/03/1991,3.20245,,1991.166667,3.20245
15/04/1991,4.50174,,1991.25,4.50174
15/05/1991,5.44503,,1991.333333,5.44503
15/06/1991,4.88,,1991.416667,4.88
15/07/1991,4.37694,,1991.5,4.37694
15/08/1991,4.37057,,1991.583333,4.37057
15/09/1991,2.97344,,1991.666667,2.97344
15/10/1991,2.34332,,1991.75,2.34332
15/11/1991,1.93058,,1991.833333,1.93058
15/12/1991,1.72033,,1991.916667,1.72033
15/01/1992,2.77577,,1992,2.77577
15/02/1992,2.58547,,1992.083333,2.58547
15/03/1992,2.72194,,1992.166667,2.72194
15/04/1992,3.08494,,1992.25,3.08494
15/05/1992,4.90458,,1992.333333,4.90458
15/06/1992,5.90062,,1992.416667,5.90062
15/07/1992,5.05967,,1992.5,5.05967
15/08/1992,3.71968,,1992.583333,3.71968
15/09/1992,3.18132,,1992.666667,3.18132
15/10/1992,2.82502,,1992.75,2.82502
15/11/1992,2.07578,,1992.833333,2.07578
15/12/1992,2.05341,,1992.916667,2.05341
15/01/1993,2.39382,,1993,2.39382
15/02/1993,4.03583,,1993.083333,4.03583
15/03/1993,3.91596,,1993.166667,3.91596
15/04/1993,4.29642,,1993.25,4.29642
15/05/1993,5.48887,,1993.333333,5.48887
15/06/1993,4.68482,,1993.416667,4.68482
15/07/1993,4.80254,,1993.5,4.80254
15/08/1993,4.24204,,1993.583333,4.24204
15/09/1993,2.85529,,1993.666667,2.85529
15/10/1993,2.67263,,1993.75,2.67263
15/11/1993,3.27699,,1993.833333,3.27699
15/12/1993,2.5668,,1993.916667,2.5668
15/01/1994,2.73769,,1994,2.73769
15/02/1994,3.35437,,1994.083333,3.35437
15/03/1994,3.30836,,1994.166667,3.30836
15/04/1994,4.16146,,1994.25,4.16146
15/05/1994,5.09598,,1994.333333,5.09598
15/06/1994,5.30018,,1994.416667,5.30018
15/07/1994,6.03889,,1994.5,6.03889
15/08/1994,4.5123,,1994.583333,4.5123
15/09/1994,3.07666,,1994.666667,3.07666
15/10/1994,3.29809,,1994.75,3.29809
15/11/1994,2.55579,,1994.833333,2.55579
15/12/1994,2.33432,,1994.916667,2.33432
15/01/1995,2.60046,,1995,2.60046
15/02/1995,2.44477,,1995.083333,2.44477
15/03/1995,3.34836,,1995.166667,3.34836
15/04/1995,5.17277,,1995.25,5.17277
15/05/1995,5.42504,,1995.333333,5.42504
15/06/1995,5.69942,,1995.416667,5.69942
15/07/1995,5.96853,,1995.5,5.96853
15/08/1995,6.06972,,1995.583333,6.06972
15/09/1995,3.32253,,1995.666667,3.32253
15/10/1995,2.89701,,1995.75,2.89701
15/11/1995,2.28549,,1995.833333,2.28549
15/12/1995,2.69868,,1995.916667,2.69868
15/01/1996,2.8544,,1996,2.8544
15/02/1996,4.41823,,1996.083333,4.41823
15/03/1996,4.4059,,1996.166667,4.4059
15/04/1996,5.89165,,1996.25,5.89165
15/05/1996,4.84784,,1996.333333,4.84784
15/06/1996,6.03151,,1996.416667,6.03151
15/07/1996,5.23691,,1996.5,5.23691
15/08/1996,5.30972,,1996.583333,5.30972
15/09/1996,4.4137,,1996.666667,4.4137
15/10/1996,3.2473,,1996.75,3.2473
15/11/1996,2.89816,,1996.833333,2.89816
15/12/1996,2.47652,,1996.916667,2.47652
15/01/1997,2.97172,,1997,2.97172
15/02/1997,2.90656,,1997.083333,2.90656
15/03/1997,4.09156,,1997.166667,4.09156
15/04/1997,3.93792,,1997.25,3.93792
15/05/1997,4.11521,,1997.333333,4.11521
15/06/1997,5.13013,,1997.416667,5.13013
15/07/1997,6.05674,,1997.5,6.05674
15/08/1997,5.87084,,1997.583333,5.87084
15/09/1997,4.7061,,1997.666667,4.7061
15/10/1997,2.65927,,1997.75,2.65927
15/11/1997,2.30727,,1997.833333,2.30727
15/12/1997,2.61215,,1997.916667,2.61215
15/01/1998,2.7241,,1998,2.7241
15/02/1998,3.93197,,1998.083333,3.93197
15/03/1998,3.71944,,1998.166667,3.71944
15/04/1998,3.24155,,1998.25,3.24155
15/05/1998,5.76081,,1998.333333,5.76081
15/06/1998,5.04141,,1998.416667,5.04141
15/07/1998,5.06154,,1998.5,5.06154
15/08/1998,5.81897,,1998.583333,5.81897
15/09/1998,3.1146,,1998.666667,3.1146
15/10/1998,2.88286,,1998.75,2.88286
15/11/1998,2.6848,,1998.833333,2.6848
15/12/1998,2.95275,,1998.916667,2.95275
15/01/1999,3.16029,,1999,3.16029
15/02/1999,3.01423,,1999.083333,3.01423
15/03/1999,4.1492,,1999.166667,4.1492
15/04/1999,4.50806,,1999.25,4.50806
15/05/1999,5.82549,,1999.333333,5.82549
15/06/1999,6.86009,,1999.416667,6.86009
15/07/1999,6.83836,,1999.5,6.83836
15/08/1999,4.84954,,1999.583333,4.84954
15/09/1999,3.07721,,1999.666667,3.07721
15/10/1999,1.90964,,1999.75,1.90964
15/11/1999,2.57539,,1999.833333,2.57539
15/12/1999,1.96985,,1999.916667,1.96985
15/01/2000,2.53727,,2000,2.53727
15/02/2000,2.71847,,2000.083333,2.71847
15/03/2000,3.67633,,2000.166667,3.67633
15/04/2000,3.91996,,2000.25,3.91996
15/05/2000,5.18165,,2000.333333,5.18165
15/06/2000,5.38101,,2000.416667,5.38101
15/07/2000,4.26296,,2000.5,4.26296
15/08/2000,4.5239,,2000.583333,4.5239
15/09/2000,3.27373,,2000.666667,3.27373
15/10/2000,2.4032,,2000.75,2.4032
15/11/2000,2.37264,,2000.833333,2.37264
15/12/2000,2.08942,,2000.916667,2.08942
15/01/2001,2.39553,,2001,2.39553
15/02/2001,2.89845,,2001.083333,2.89845
15/03/2001,2.89462,,2001.166667,2.89462
15/04/2001,3.81366,,2001.25,3.81366
15/05/2001,6.63292,,2001.333333,6.63292
15/06/2001,4.8422,,2001.416667,4.8422
15/07/2001,4.66689,,2001.5,4.66689
15/08/2001,4.47733,,2001.583333,4.47733
15/09/2001,3.21103,,2001.666667,3.21103
15/10/2001,2.33626,,2001.75,2.33626
15/11/2001,2.34332,,2001.833333,2.34332
15/12/2001,2.21338,,2001.916667,2.21338
15/01/2002,2.26897,,2002,2.26897
15/02/2002,3.14958,,2002.083333,3.14958
15/03/2002,3.50198,,2002.166667,3.50198
15/04/2002,5.09042,,2002.25,5.09042
15/05/2002,5.24621,,2002.333333,5.24621
15/06/2002,4.89737,,2002.416667,4.89737
15/07/2002,6.08524,,2002.5,6.08524
15/08/2002,5.37979,,2002.583333,5.37979
15/09/2002,4.86785,,2002.666667,4.86785
15/10/2002,2.31711,,2002.75,2.31711
15/11/2002,2.02642,,2002.833333,2.02642
15/12/2002,2.20302,,2002.916667,2.20302
15/01/2003,2.34281,,2003,2.34281
15/02/2003,3.42223,,2003.083333,3.42223
15/03/2003,3.25535,,2003.166667,3.25535
15/04/2003,4.59866,,2003.25,4.59866
15/05/2003,5.63916,,2003.333333,5.63916
15/06/2003,6.26237,,2003.416667,6.26237
15/07/2003,4.71566,,2003.5,4.71566
15/08/2003,4.79943,,2003.583333,4.79943
15/09/2003,3.47094,,2003.666667,3.47094
15/10/2003,2.65458,,2003.75,2.65458
15/11/2003,2.20557,,2003.833333,2.20557
15/12/2003,2.03105,,2003.916667,2.03105
15/01/2004,2.28855,,2004,2.28855
15/02/2004,3.86016,,2004.083333,3.86016
15/03/2004,3.56312,,2004.166667,3.56312
15/04/2004,4.18212,,2004.25,4.18212
15/05/2004,5.49322,,2004.333333,5.49322
15/06/2004,5.39139,,2004.416667,5.39139
15/07/2004,4.3158,,2004.5,4.3158
15/08/2004,4.37905,,2004.583333,4.37905
15/09/2004,3.55688,,2004.666667,3.55688
15/10/2004,2.57669,,2004.75,2.57669
15/11/2004,2.87614,,2004.833333,2.87614
15/12/2004,2.74692,,2004.916667,2.74692
15/01/2005,2.36143,,2005,2.36143
15/02/2005,3.84475,,2005.083333,3.84475
15/03/2005,3.65424,,2005.166667,3.65424
15/04/2005,4.39201,,2005.25,4.39201
15/05/2005,5.19497,,2005.333333,5.19497
15/06/2005,5.13358,,2005.416667,5.13358
15/07/2005,5.52483,,2005.5,5.52483
15/08/2005,5.23994,,2005.583333,5.23994
15/09/2005,3.92515,,2005.666667,3.92515
15/10/2005,3.09331,,2005.75,3.09331
15/11/2005,2.75261,,2005.833333,2.75261
15/12/2005,2.23625,,2005.916667,2.23625
15/01/2006,3.15348,,2006,3.15348
15/02/2006,3.18306,,2006.083333,3.18306
15/03/2006,3.26841,,2006.166667,3.26841
15/04/2006,5.08002,,2006.25,5.08002
15/05/2006,6.49436,,2006.333333,6.49436
15/06/2006,6.13157,,2006.416667,6.13157
15/07/2006,6.99332,,2006.5,6.99332
15/08/2006,4.79737,,2006.583333,4.79737
15/09/2006,4.34081,,2006.666667,4.34081
15/10/2006,2.67365,,2006.75,2.67365
15/11/2006,2.1628,,2006.833333,2.1628
15/12/2006,2.07857,,2006.916667,2.07857
15/01/2007,4.17876,,2007,4.17876
15/02/2007,3.1248,,2007.083333,3.1248
15/03/2007,3.94252,,2007.166667,3.94252
15/04/2007,5.87866,,2007.25,5.87866
15/05/2007,5.62473,,2007.333333,5.62473
15/06/2007,6.58942,,2007.416667,6.58942
15/07/2007,4.95262,,2007.5,4.95262
15/08/2007,4.91838,,2007.583333,4.91838
15/09/2007,3.83798,,2007.666667,3.83798
15/10/2007,3.50803,,2007.75,3.50803
15/11/2007,2.4873,,2007.833333,2.4873
15/12/2007,2.15703,,2007.916667,2.15703
15/01/2008,2.62394,,2008,2.62394
15/02/2008,3.2662,,2008.083333,3.2662
15/03/2008,3.36176,,2008.166667,3.36176
15/04/2008,3.6874,,2008.25,3.6874
15/05/2008,6.26605,,2008.333333,6.26605
15/06/2008,7.58696,,2008.416667,7.58696
15/07/2008,6.52607,,2008.5,6.52607
15/08/2008,4.86107,,2008.583333,4.86107
15/09/2008,4.43283,,2008.666667,4.43283
15/10/2008,2.90034,,2008.75,2.90034
15/11/2008,2.98542,,2008.833333,2.98542
15/12/2008,2.91186,,2008.916667,2.91186
15/01/2009,2.95008,,2009,2.95008
15/02/2009,2.9339,,2009.083333,2.9339
15/03/2009,5.19514,,2009.166667,5.19514
15/04/2009,5.91756,,2009.25,5.91756
15/05/2009,6.51176,,2009.333333,6.51176
15/06/2009,6.22217,,2009.416667,6.22217
15/07/2009,6.19677,,2009.5,6.19677
15/08/2009,6.24143,,2009.583333,6.24143
15/09/2009,5.41789,,2009.666667,5.41789
15/10/2009,3.08089,,2009.75,3.08089
15/11/2009,2.37109,,2009.833333,2.37109
15/12/2009,2.45276,,2009.916667,2.45276
15/01/2010,3.58941,,2010,3.58941
15/02/2010,4.01638,,2010.083333,4.01638
15/03/2010,4.3471,,2010.166667,4.3471
15/04/2010,6.89527,,2010.25,6.89527
15/05/2010,6.77498,,2010.333333,6.77498
15/06/2010,6.82538,,2010.416667,6.82538
15/07/2010,6.55092,,2010.5,6.55092
15/08/2010,5.68541,,2010.583333,5.68541
15/09/2010,3.92511,,2010.666667,3.92511
15/10/2010,3.05295,,2010.75,3.05295
15/11/2010,2.65627,,2010.833333,2.65627
15/12/2010,2.35811,,2010.916667,2.35811
15/01/2011,2.4643,,2011,2.4643
15/02/2011,3.80711,,2011.083333,3.80711
15/03/2011,5.01673,,2011.166667,5.01673
15/04/2011,5.80548,,2011.25,5.80548
15/05/2011,5.94657,,2011.333333,5.94657
15/06/2011,6.03462,,2011.416667,6.03462
15/07/2011,5.6353,,2011.5,5.6353
15/08/2011,4.26546,,2011.583333,4.26546
15/09/2011,3.58111,,2011.666667,3.58111
15/10/2011,2.76743,,2011.75,2.76743
15/11/2011,2.14009,,2011.833333,2.14009
15/12/2011,2.25191,,2011.916667,2.25191
15/01/2012,2.8667,,2012,2.8667
15/02/2012,5.96948,,2012.083333,5.96948
15/03/2012,5.04293,,2012.166667,5.04293
15/04/2012,5.16931,,2012.25,5.16931
15/05/2012,6.11594,,2012.333333,6.11594
15/06/2012,5.20072,,2012.416667,5.20072
15/07/2012,5.81324,,2012.5,5.81324
15/08/2012,4.39768,,2012.583333,4.39768
15/09/2012,3.59288,,2012.666667,3.59288
15/10/2012,3.04585,,2012.75,3.04585
15/11/2012,2.31628,,2012.833333,2.31628
15/12/2012,2.42436,,2012.916667,2.42436
15/01/2013,2.77963,,2013,2.77963
15/02/2013,3.33224,,2013.083333,3.33224
15/03/2013,3.68088,,2013.166667,3.68088
15/04/2013,5.29071,,2013.25,5.29071
15/05/2013,5.04184,,2013.333333,5.04184
15/06/2013,6.05415,,2013.416667,6.05415
15/07/2013,6.63664,,2013.5,6.63664
15/08/2013,4.80417,,2013.583333,4.80417
15/09/2013,3.18967,,2013.666667,3.18967
15/10/2013,2.46535,,2013.75,2.46535
15/11/2013,2.48254,,2013.833333,2.48254
15/12/2013,2.48801,,2013.916667,2.48801
15/01/2014,2.91509,,2014,2.91509
15/02/2014,3.05716,,2014.083333,3.05716
15/03/2014,3.50148,,2014.166667,3.50148
15/04/2014,4.25423,,2014.25,4.25423
15/05/2014,5.02921,,2014.333333,5.02921
15/06/2014,6.14871,,2014.416667,6.14871
15/07/2014,6.20637,,2014.5,6.20637
15/08/2014,4.18029,,2014.583333,4.18029
15/09/2014,4.46778,,2014.666667,4.46778
15/10/2014,3.01867,,2014.75,3.01867
15/11/2014,2.3981,,2014.833333,2.3981
15/12/2014,2.69339,,2014.916667,2.69339
15/01/2015,2.79946,,2015,2.79946
15/02/2015,2.7359,,2015.083333,2.7359
15/03/2015,4.86983,,2015.166667,4.86983
15/04/2015,4.36984,,2015.25,4.36984
15/05/2015,4.66185,,2015.333333,4.66185
15/06/2015,6.95248,,2015.416667,6.95248
15/07/2015,4.78925,,2015.5,4.78925
15/08/2015,5.32639,,2015.583333,5.32639
